,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
572,filter118$\longleftrightarrow$filter138,16598,M0437_1.02,0.03969980000000001,M0607_1.02,0.047259300000000004,102.0,66.0,168.0,358.0,7.877266011691133e-13,5.450725590263669e-12,ZNF32,KDM2B,ZNF32$\longleftrightarrow$KDM2B,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
573,filter118$\longleftrightarrow$filter160,16620,M0437_1.02,0.03969980000000001,M1605_1.02,0.013323500000000002,12.0,162.0,140.0,362.0,0.0026972226488437877,0.003032589082045134,ZNF32,SOX1,ZNF32$\longleftrightarrow$SOX1,C2H2 ZF,Sox,Sox$\longleftrightarrow$C2H2 ZF
574,filter118$\longleftrightarrow$filter193,16653,M0437_1.02,0.03969980000000001,M0891_1.02,0.00465549,300.0,30.0,151.0,384.0,0.0037744830624625264,0.004170142168628331,ZNF32,TLX2,TLX2$\longleftrightarrow$ZNF32,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
575,filter119$\longleftrightarrow$filter133,16673,M0891_1.02,0.00379398,M0609_1.02,0.00486299,498.0,150.0,110.0,310.0,3.702356610880579e-17,5.146114014162829e-16,TLX2,DNMT1,TLX2$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
576,filter120$\longleftrightarrow$filter130,16749,M0632_1.02,0.012941999999999999,M0891_1.02,0.040161,234.0,192.0,197.0,262.0,1.2961721069203756e-08,3.884854817634234e-08,DMRTA2,TLX2,TLX2$\longleftrightarrow$DMRTA2,DM,Homeodomain,Homeodomain$\longleftrightarrow$DM
577,filter120$\longleftrightarrow$filter133,16752,M0632_1.02,0.012941999999999999,M0609_1.02,0.00486299,126.0,312.0,215.0,227.0,1.161638974552274e-27,1.8487484279999439e-25,DMRTA2,DNMT1,DMRTA2$\longleftrightarrow$DNMT1,DM,CxxC,DM$\longleftrightarrow$CxxC
578,filter121$\longleftrightarrow$filter133,16830,M0931_1.02,0.0228334,M0609_1.02,0.00486299,12.0,240.0,145.0,337.0,5.294507213410753e-13,3.804157214511607e-12,LHX5,DNMT1,LHX5$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
579,filter121$\longleftrightarrow$filter193,16890,M0931_1.02,0.0228334,M0891_1.02,0.00465549,228.0,276.0,115.0,356.0,0.00033501867989952266,0.0004223225576713587,LHX5,TLX2,LHX5$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
580,filter123$\longleftrightarrow$filter133,16983,M0891_1.02,0.000661283,M0609_1.02,0.00486299,162.0,372.0,119.0,204.0,6.1413758926618324e-15,5.977981488178168e-14,TLX2,DNMT1,TLX2$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
581,filter124$\longleftrightarrow$filter130,17055,M0632_1.02,0.013403899999999998,M0891_1.02,0.040161,84.0,258.0,116.0,366.0,2.686228216638877e-06,4.667174898232285e-06,DMRTA2,TLX2,TLX2$\longleftrightarrow$DMRTA2,DM,Homeodomain,Homeodomain$\longleftrightarrow$DM
582,filter124$\longleftrightarrow$filter133,17058,M0632_1.02,0.013403899999999998,M0609_1.02,0.00486299,96.0,234.0,130.0,315.0,1.00397368414831e-15,1.1057606355169796e-14,DMRTA2,DNMT1,DMRTA2$\longleftrightarrow$DNMT1,DM,CxxC,DM$\longleftrightarrow$CxxC
583,filter124$\longleftrightarrow$filter135,17060,M0632_1.02,0.013403899999999998,M1110_1.02,0.027917599999999997,6.0,180.0,111.0,311.0,2.104743842784152e-05,3.130560584851381e-05,DMRTA2,HHEX,DMRTA2$\longleftrightarrow$HHEX,DM,Homeodomain,Homeodomain$\longleftrightarrow$DM
584,filter124$\longleftrightarrow$filter138,17063,M0632_1.02,0.013403899999999998,M0607_1.02,0.047259300000000004,90.0,12.0,111.0,321.0,1.489650749046435e-05,2.2719493695327272e-05,DMRTA2,KDM2B,KDM2B$\longleftrightarrow$DMRTA2,DM,CxxC,DM$\longleftrightarrow$CxxC
585,filter124$\longleftrightarrow$filter160,17085,M0632_1.02,0.013403899999999998,M1605_1.02,0.013323500000000002,6.0,12.0,89.0,321.0,3.609935928284583e-05,5.189894335921331e-05,DMRTA2,SOX1,SOX1$\longleftrightarrow$DMRTA2,DM,Sox,Sox$\longleftrightarrow$DM
586,filter125$\longleftrightarrow$filter130,17129,M0931_1.02,0.0494975,M0891_1.02,0.040161,234.0,30.0,150.0,325.0,7.722108642427884e-06,1.238884667784675e-05,LHX5,TLX2,LHX5$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
587,filter125$\longleftrightarrow$filter133,17132,M0931_1.02,0.0494975,M0609_1.02,0.00486299,366.0,156.0,169.0,286.0,1.3570944875191608e-20,3.247843423889841e-19,LHX5,DNMT1,LHX5$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
588,filter126$\longleftrightarrow$filter133,17205,M0891_1.02,0.00969903,M0609_1.02,0.00486299,132.0,54.0,154.0,360.0,6.18642544693462e-13,4.375864932798421e-12,TLX2,DNMT1,TLX2$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
589,filter128$\longleftrightarrow$filter130,17345,M0931_1.02,0.00112071,M0891_1.02,0.040161,486.0,30.0,98.0,434.0,4.595710137121744e-05,6.492740952711278e-05,LHX5,TLX2,LHX5$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
590,filter128$\longleftrightarrow$filter133,17348,M0931_1.02,0.00112071,M0609_1.02,0.00486299,48.0,6.0,104.0,381.0,8.948689480366545e-16,9.994273198598845e-15,LHX5,DNMT1,LHX5$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
591,filter129$\longleftrightarrow$filter133,17418,M0891_1.02,0.018319400000000003,M0609_1.02,0.00486299,480.0,18.0,130.0,320.0,4.1698953926448683e-16,4.971077541119331e-15,TLX2,DNMT1,TLX2$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
592,filter129$\longleftrightarrow$filter160,17445,M0891_1.02,0.018319400000000003,M1605_1.02,0.013323500000000002,516.0,180.0,94.0,330.0,0.0010578139354070453,0.0012502865786857126,TLX2,SOX1,SOX1$\longleftrightarrow$TLX2,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
593,filter130$\longleftrightarrow$filter131,17485,M0891_1.02,0.040161,M0424_1.02,0.0111822,402.0,150.0,346.0,429.0,8.831273310571193e-15,8.441424308573006e-14,TLX2,SNAI3,TLX2$\longleftrightarrow$SNAI3,Homeodomain,C2H2 ZF,Homeodomain$\longleftrightarrow$C2H2 ZF
594,filter130$\longleftrightarrow$filter133,17487,M0891_1.02,0.040161,M0609_1.02,0.00486299,312.0,36.0,439.0,362.0,2.8600636283441277e-34,2.27589563225484e-31,TLX2,DNMT1,TLX2$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
595,filter130$\longleftrightarrow$filter135,17489,M0891_1.02,0.040161,M1110_1.02,0.027917599999999997,108.0,96.0,367.0,348.0,1.4676462108041298e-12,9.773049976965578e-12,TLX2,HHEX,HHEX$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
596,filter130$\longleftrightarrow$filter138,17492,M0891_1.02,0.040161,M0607_1.02,0.047259300000000004,108.0,48.0,369.0,368.0,3.345309300743421e-22,1.052784843346514e-20,TLX2,KDM2B,TLX2$\longleftrightarrow$KDM2B,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
597,filter130$\longleftrightarrow$filter139,17493,M0891_1.02,0.040161,M1605_1.02,0.00567516,336.0,144.0,203.0,345.0,2.893066470704412e-11,1.557224971899419e-10,TLX2,SOX1,SOX1$\longleftrightarrow$TLX2,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
598,filter130$\longleftrightarrow$filter140,17494,M0891_1.02,0.040161,M1605_1.02,8.50604e-05,42.0,30.0,166.0,430.0,1.837783806702418e-07,4.199329401818949e-07,TLX2,SOX1,SOX1$\longleftrightarrow$TLX2,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
599,filter130$\longleftrightarrow$filter143,17497,M0891_1.02,0.040161,M0632_1.02,0.016274200000000003,54.0,6.0,191.0,419.0,1.7769461478672655e-08,5.165314692841559e-08,TLX2,DMRTA2,TLX2$\longleftrightarrow$DMRTA2,Homeodomain,DM,Homeodomain$\longleftrightarrow$DM
600,filter130$\longleftrightarrow$filter144,17498,M0891_1.02,0.040161,M0607_1.02,0.0492292,348.0,102.0,371.0,377.0,8.054697822775505e-17,1.063821708294375e-15,TLX2,KDM2B,TLX2$\longleftrightarrow$KDM2B,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
601,filter130$\longleftrightarrow$filter145,17499,M0891_1.02,0.040161,M1605_1.02,0.0305676,288.0,36.0,96.0,270.0,1.0254583941973243e-09,3.8857548437262905e-09,TLX2,SOX1,SOX1$\longleftrightarrow$TLX2,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
602,filter130$\longleftrightarrow$filter148,17502,M0891_1.02,0.040161,M0610_1.02,0.0105344,186.0,126.0,329.0,332.0,3.1593298651288346e-24,1.7338184415008759e-22,TLX2,TET1,TLX2$\longleftrightarrow$TET1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
603,filter130$\longleftrightarrow$filter151,17505,M0891_1.02,0.040161,M1507_1.02,0.00163482,264.0,138.0,298.0,374.0,1.9864715836968086e-11,1.1092875527906919e-10,TLX2,LCOR,TLX2$\longleftrightarrow$LCOR,Homeodomain,Pipsqueak,Homeodomain$\longleftrightarrow$Pipsqueak
604,filter130$\longleftrightarrow$filter155,17509,M0891_1.02,0.040161,M0609_1.02,0.0062106,150.0,294.0,258.0,317.0,3.2278245970111787e-10,1.382794844183928e-09,TLX2,DNMT1,TLX2$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
605,filter130$\longleftrightarrow$filter156,17510,M0891_1.02,0.040161,M0607_1.02,0.00239131,18.0,12.0,257.0,397.0,6.035013833593848e-13,4.278273726576664e-12,TLX2,KDM2B,TLX2$\longleftrightarrow$KDM2B,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
606,filter130$\longleftrightarrow$filter159,17513,M0891_1.02,0.040161,M0607_1.02,0.0061845,54.0,240.0,209.0,285.0,8.309183036994835e-12,4.980815368503684e-11,TLX2,KDM2B,TLX2$\longleftrightarrow$KDM2B,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
607,filter130$\longleftrightarrow$filter160,17514,M0891_1.02,0.040161,M1605_1.02,0.013323500000000002,144.0,492.0,272.0,371.0,1.7021532641745506e-10,7.695957158902833e-10,TLX2,SOX1,SOX1$\longleftrightarrow$TLX2,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
608,filter130$\longleftrightarrow$filter161,17515,M0891_1.02,0.040161,M4459_1.02,0.0224206,18.0,48.0,353.0,280.0,4.2493330020991495e-12,2.6365744533492386e-11,TLX2,EGR1,TLX2$\longleftrightarrow$EGR1,Homeodomain,C2H2 ZF,Homeodomain$\longleftrightarrow$C2H2 ZF
609,filter130$\longleftrightarrow$filter162,17516,M0891_1.02,0.040161,M0609_1.02,0.0188738,234.0,72.0,203.0,352.0,6.832951876327591e-08,1.7330108224980654e-07,TLX2,DNMT1,TLX2$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
610,filter130$\longleftrightarrow$filter170,17524,M0891_1.02,0.040161,M1592_1.02,0.00168537,36.0,18.0,201.0,333.0,8.402645511479449e-11,4.0708707249678974e-10,TLX2,SOX3,SOX3$\longleftrightarrow$TLX2,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
611,filter130$\longleftrightarrow$filter172,17526,M0891_1.02,0.040161,M1605_1.02,0.000319962,42.0,30.0,177.0,311.0,1.1640842495821455e-09,4.3745928765288895e-09,TLX2,SOX1,SOX1$\longleftrightarrow$TLX2,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
612,filter130$\longleftrightarrow$filter173,17527,M0891_1.02,0.040161,M0607_1.02,0.00901742,24.0,120.0,300.0,355.0,2.2194853967581723e-15,2.323888821671468e-14,TLX2,KDM2B,TLX2$\longleftrightarrow$KDM2B,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
